Epoch,TrainLoss,ValLoss
1,0.000513,0.000085
2,0.000018,0.000081
3,0.000016,0.000080
4,0.000014,0.000077
5,0.000013,0.000094
6,0.000013,0.000069
7,0.000013,0.000075
8,0.000013,0.000073
9,0.000013,0.000072
10,0.000013,0.000071
11,0.000013,0.000071
12,0.000012,0.000071
13,0.000013,0.000073
14,0.000012,0.000071
15,0.000012,0.000076
16,0.000012,0.000070
17,0.000012,0.000070
18,0.000012,0.000072
19,0.000012,0.000070
20,0.000012,0.000070
21,0.000012,0.000068
22,0.000012,0.000087
23,0.000012,0.000071
24,0.000012,0.000074
25,0.000012,0.000072
26,0.000012,0.000075
27,0.000012,0.000071
28,0.000012,0.000072
29,0.000012,0.000070
30,0.000012,0.000069
31,0.000012,0.000067
32,0.000012,0.000072
33,0.000012,0.000071
34,0.000012,0.000071
35,0.000012,0.000070
36,0.000012,0.000074
37,0.000012,0.000073
38,0.000011,0.000069
39,0.000012,0.000078
40,0.000011,0.000071
41,0.000011,0.000067
42,0.000011,0.000066
43,0.000011,0.000069
44,0.000011,0.000065
45,0.000011,0.000067
46,0.000011,0.000067
47,0.000011,0.000070
48,0.000011,0.000068
49,0.000011,0.000069
50,0.000011,0.000069
51,0.000011,0.000069
52,0.000011,0.000067
53,0.000011,0.000067
54,0.000011,0.000064
55,0.000011,0.000068
56,0.000011,0.000067
57,0.000011,0.000070
58,0.000011,0.000069
59,0.000011,0.000070
60,0.000011,0.000066
61,0.000011,0.000072
62,0.000011,0.000067
63,0.000011,0.000066
64,0.000011,0.000067
65,0.000011,0.000068
66,0.000011,0.000067
67,0.000011,0.000068
68,0.000011,0.000068
69,0.000011,0.000068
70,0.000011,0.000067
71,0.000011,0.000069
72,0.000011,0.000068
73,0.000011,0.000066
74,0.000011,0.000068
75,0.000011,0.000067
76,0.000011,0.000072
77,0.000011,0.000067
78,0.000011,0.000068
79,0.000011,0.000068
80,0.000011,0.000066
81,0.000011,0.000068
82,0.000011,0.000067
83,0.000011,0.000069
84,0.000011,0.000068
85,0.000011,0.000118
86,0.000011,0.000069
87,0.000011,0.000068
88,0.000010,0.000067
89,0.000010,0.000070
90,0.000011,0.000074
91,0.000011,0.000070
92,0.000010,0.000066
93,0.000011,0.000066
94,0.000011,0.000072
95,0.000010,0.000067
96,0.000011,0.000069
97,0.000010,0.000070
98,0.000010,0.000070
99,0.000010,0.000071
100,0.000010,0.000067
